"X_id","OFFENCE_YEAR","DIVISION","TICKET_TYPE","OFFENCE_CATEGORY","AGE_GROUP","HOOD_158","NEIGHBOURHOOD_158","TICKET_COUNT"
56,2014,"D41","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","124","Kennedy Park",41
57,2016,"D53","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","99","Mount Pleasant East",1
58,2016,"D52","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","165","Harbourfront-CityPlace",35
59,2019,"D33","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","47","Don Valley Village",34
60,2021,"D52","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","NSA","NSA",8
61,2017,"D13","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","96","Casa Loma",33
62,2016,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","168","Downtown Yonge East",462
63,2016,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","NSA","NSA",78
64,2021,"D11","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","91","Weston-Pelham Park",139
65,2022,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","101","Forest Hill South",9
66,2016,"D41","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","121","Oakridge",1
67,2022,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","36","Newtonbrook West",348
68,2018,"D43","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","143","West Rouge",4
69,2019,"D12","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","115","Mount Dennis",10
70,2014,"D42","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","144","Morningside Heights",10
71,2020,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","165","Harbourfront-CityPlace",2
72,2021,"D53","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","103","Lawrence Park South",2
73,2017,"D52","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","164","Wellington Place",453
74,2018,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","118","Tam O'Shanter-Sullivan",167
75,2017,"D31","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","27","York University Heights",164
76,2021,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","48","Hillcrest Village",4
77,2021,"D12","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","23","Pelmo Park-Humberlea",1
78,2016,"D53","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","55","Thorncliffe Park",1
79,2014,"D31","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","27","York University Heights",309
80,2015,"D32","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","27","York University Heights",41
81,2017,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","NSA","NSA",6
82,2018,"D33","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","46","Pleasant View",15
83,2017,"D53","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","100","Yonge-Eglinton",318
84,2016,"D55","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","65","Greenwood-Coxwell",33
85,2018,"D32","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","41","Bridle Path-Sunnybrook-York Mills",20
86,2019,"D23","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","NSA","NSA",80
87,2018,"D43","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Youth","136","West Hill",1
88,2019,"D42","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","148","East L'Amoreaux",15
89,2015,"D41","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","126","Dorset Park",192
90,2017,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","10","Princess-Rosethorn",5
91,2021,"D55","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","54","O'Connor-Parkview",2
92,2022,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","49","Bayview Woods-Steeles",83
93,2015,"D55","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","63","The Beaches",115
94,2015,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","142","Woburn North",12
95,2022,"D31","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","48","Hillcrest Village",1
96,2018,"D43","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","133","Centennial Scarborough",3
97,2016,"D13","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","96","Casa Loma",14
98,2015,"D42","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","116","Steeles",1
99,2015,"D51","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","73","Moss Park",908
100,2018,"D31","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","24","Black Creek",87
101,2016,"D55","Prov Offence Summons Part Iii Form 104                                         ","Distracted Driving","Adult","54","O'Connor-Parkview",2
102,2021,"D23","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","9","Edenbridge-Humber Valley",9
103,2016,"D53","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","174","South Eglinton-Davisville",2
104,2014,"D41","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","NSA","NSA",13
105,2022,"D14","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","80","Palmerston-Little Italy",1
106,2020,"D53","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","100","Yonge-Eglinton",4
107,2021,"D55","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","NSA","NSA",1
108,2019,"D11","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","171","Junction-Wallace Emerson",7
109,2018,"D11","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","89","Runnymede-Bloor West Village",5
110,2022,"D33","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","119","Wexford/Maryvale",4
111,2018,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","163","Fort York-Liberty Village",6
112,2017,"D51","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","168","Downtown Yonge East",584
113,2016,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","36","Newtonbrook West",1
114,2021,"D43","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","135","Morningside",678
115,2017,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","102","Forest Hill North",17
116,2019,"D31","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","22","Humbermede",33
117,2018,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","85","South Parkdale",1
118,2019,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","NSA","NSA",847
119,2020,"D31","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","21","Humber Summit",8
120,2017,"D32","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","33","Clanton Park",65
121,2020,"D42","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","146","Malvern East",293
122,2020,"D22","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","161","Humber Bay Shores",651
123,2022,"D32","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","33","Clanton Park",2
124,2017,"D33","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","149","Parkwoods-O'Connor Hills",19
125,2014,"D11","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","171","Junction-Wallace Emerson",41
126,2022,"D43","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","156","Bendale-Glen Andrew",1
127,2017,"D43","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","133","Centennial Scarborough",44
128,2021,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","85","South Parkdale",4
129,2019,"D14","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","172","Dovercourt Village",10
130,2017,"D33","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","44","Flemingdon Park",3
131,2014,"D55","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","121","Oakridge",3
132,2022,"D13","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","94","Wychwood",11
133,2015,"D42","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","130","Milliken",3
134,2022,"D12","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","115","Mount Dennis",8
135,2018,"D31","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","22","Humbermede",108
136,2022,"D33","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","46","Pleasant View",25
137,2016,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","87","High Park-Swansea",2
138,2014,"D43","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","156","Bendale-Glen Andrew",26
139,2017,"D32","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","27","York University Heights",18
140,2016,"D11","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","85","South Parkdale",4
141,2020,"D43","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","NSA","NSA",21
142,2015,"D42","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","NSA","NSA",403
143,2019,"D31","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","24","Black Creek",74
144,2020,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","126","Dorset Park",4
145,2014,"D53","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","102","Forest Hill North",1
146,2014,"D41","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","126","Dorset Park",25
147,2014,"D22","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","16","Stonegate-Queensway",2
148,2015,"D42","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","129","Agincourt North",4
149,2017,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","108","Briar Hill-Belgravia",40
150,2019,"D52","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","164","Wellington Place",292
151,2021,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","4","Rexdale-Kipling",58
152,2014,"D33","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","47","Don Valley Village",11
153,2020,"D14","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","164","Wellington Place",2
154,2014,"D12","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","111","Rockcliffe-Smythe",193
155,2014,"D33","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","150","Fenside-Parkwoods",10
156,2019,"D43","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","156","Bendale-Glen Andrew",125
